phrase1,phrase2,sentence1,sentence2,label,idx
drop,drop,there was a drop in pressure in the pulmonary artery .,a drop of 57 points on the dow jones index .,1,4653
converge,converge,the lines converge at this point .,the crowd converged on the movie star .,0,4654
catch,catch,i have to stop for a moment and catch my breath .,i caught some z 's on the train .,1,4655
enter,enter,enter a drug treatment program .,enter negotiations .,1,4656
toe,toe,toe a nail .,she toes inwards .,0,4657
make,make,make a phone call .,make a move .,1,4658
howl,howl,the howl of the wind made him restless .,he gave a howl of pain .,0,4659
throw,throw,throw the car into reverse .,the horse threw its inexperienced rider .,0,4660
hold,hold,he has a hold over them .,he ordered a hold in the action .,0,4661
end,end,start at the beginning and go on until you come to the end .,"at the end of the story , the main characters fall in love .",1,4662
weakness,weakness,his weakness increased as he became older .,he has a weakness for chocolate .,0,4663
intermingle,intermingle,we do n't intermingle much .,the yolks and the whites intermingled .,1,4664
resistance,resistance,the enemy offered little resistance .,the resistance of bacteria to certain antibiotics .,1,4665
throw,throw,throw accusations at someone .,the horse threw its inexperienced rider .,0,4666
crash,crash,the crash occurred during a thunderstorm and the system has been down ever since .,his crash through the window .,0,4667
follow,follow,we must follow closely the economic development is cuba .,please follow the guide through the museum .,0,4668
part,part,they resisted every effort on his part .,it requires vigilance on our part .,1,4669
operation,operation,a multinational operation .,they had to consolidate their operations .,1,4670
make,make,they make a cute couple .,one swallow does not a summer make .,1,4671
mean,mean,i mean no harm .,happiness means everything .,0,4672
foot,foot,curled up on the foot of the bed .,the foot of the page .,1,4673
seat,seat,the seat of a saddle .,"he sat on the arm of the chair rather than the seat , which always annoyed his mother .",1,4674
operation,operation,a large-scale farming operation .,it can perform millions of operations per second .,0,4675
bear,bear,she agreed to bear the responsibility .,bearing orders .,0,4676
origin,origin,mineral origin .,vegetable origins .,1,4677
quality,quality,a man of quality .,"while being impulsive can be great for artists , it is not a desirable quality for engineers .",0,4678
art,art,an art exhibition .,i was never any good at art .,0,4679
mercy,mercy,it was a mercy that we were not inside when the roof collapsed .,he threw himself on the mercy of the court .,0,4680
erase,erase,the files will erase quickly .,i erased that note because it was wrong .,0,4681
war,war,war was declared in november but actual fighting did not begin until the following spring .,"the "" war on terror "" is a campaign against terrorist crime .",0,4682
make,make,clothes make the man .,this makes the third infraction .,1,4683
strike,strike,strike a bargain .,we must strike the enemy 's oil fields .,0,4684
demobilization,demobilization,immediate demobilization of the reserves .,demobilization of factories .,1,4685
spot,spot,night spot .,a leopard 's spots .,0,4686
touch,touch,i would n't touch her with a ten-foot pole .,the local mafia wo n't touch gambling .,1,4687
set,set,set the table .,set the dogs on the scent of the missing children .,0,4688
have,have,what do we have here ?,have a lover .,0,4689
majority,majority,"those opposing the building plans were in the majority , so the building project was canceled .",the majority agreed that the new proposal was the best .,1,4690
profession,profession,the news spread rapidly through the medical profession .,his conduct is against the established practices of the legal profession .,1,4691
extend,extend,the facts extend beyond a consideration of her personal assets .,my memory extends back to my fourth year of life .,1,4692
attack,attack,his plan of attack was misguided .,an attack on inflation .,1,4693
throw,throw,the horse threw its rider .,throw a glance .,0,4694
head,head,i could n't get his words out of my head .,this song keeps going through my head .,1,4695
fire,fire,he went through fire and damnation .,hold your fire until you can see the whites of their eyes .,0,4696
make,make,make a phone call .,make a decision .,1,4697
put,put,he put all his efforts into this job .,i would n't put it that way .,0,4698
finish,finish,when the finish is too thin it is difficult to apply evenly .,he applied a coat of a clear finish .,1,4699
stick,stick,stick the photo onto the corkboard .,stick some feathers in the turkey before you serve it .,0,4700
furniture,furniture,they had too much furniture for the small apartment .,there was only one piece of furniture in the room .,1,4701
day,day,my day began early this morning .,it was a busy day on the stock exchange .,1,4702
interest,interest,victorian furniture is an interest of mine .,lexicography is one of my interests .,1,4703
port,port,port the helm .,port arms !,0,4704
say,say,what does the law say ?,she said her ` hail mary ' .,0,4705
fatigue,fatigue,the american public is experiencing scandal fatigue .,after watching tv with her husband she had a bad case of football fatigue .,1,4706
grow,grow,corn does n't grow here .,"in these forests , mushrooms grow under the trees .",1,4707
building,building,my sister lives in that apartment building .,there was a three-story building on the corner .,1,4708
burn,burn,burn a cd .,witches were burned in salem .,0,4709
matter,matter,he always took some reading matter with him on the plane .,they were friends and it was no matter who won the games .,0,4710
tension,tension,there is a tension between these approaches to understanding history .,there is a tension created between narrative time and movie time .,1,4711
time,time,we had a wonderful time at the party .,he is not living at home because he is doing time .,0,4712
verify,verify,verify a claim .,please verify that the doors are closed .,1,4713
outwardness,outwardness,"what is the origin of the outwardness of our sensations of sound , smell , or taste .",an abstract conception with feelings of reality and spatial outwardness attached to it .,1,4714
play,play,play games .,pele played for the brazilian teams in many important matches .,1,4715
beat,beat,the drums beat all night .,beat the rhythm .,0,4716
feel,feel,my cold is gone -- i feel fine today .,she felt tired after the long hike .,1,4717
hold,hold,to hold good .,the weather held .,1,4718
case,case,it was a case of bad judgment .,a case of the jitters .,0,4719
copy,copy,the clone was a copy of its ancestor .,please bring me the copies of those reports .,1,4720
strike,strike,strike a medal .,strike coins .,1,4721
quality,quality,"the quality of mercy is not strained ""-- shakespeare .",one of the qualities of pure iron is that it does not rust easily .,1,4722
treat,treat,treat the lawn with chemicals .,do n't worry about the expensive wine -- i'm treating .,0,4723
proficiency,proficiency,to attain ( or to reach ) proficiency .,a test of proficiency in english .,1,4724
beg,beg,i beg your pardon . i did n't mean to cause offence .,i begged her for release .,1,4725
bevy,bevy,a bevy of young beach boys swarmed around him .,he was surrounded by a bevy of beauties in bathing attire .,1,4726
believe,believe,"when you hear his sermons , you will be able to believe , too .","after that night in the church , i believed .",1,4727
institution,institution,the institution of marriage .,he had become an institution in the theater .,1,4728
lot,lot,they were an angry lot .,lots of people think so .,0,4729
draft,draft,they served beer on draft .,he left the country to avoid the draft .,0,4730
go,go,these ugly billboards have to go !,this chair has got to go .,1,4731
mouth,mouth,she wiped lipstick from her mouth .,the jar had a wide mouth .,0,4732
time,time,this time he succeeded .,when was the last time we went out ? i do n't remember .,1,4733
admit,admit,to admit evidence in the trial of a cause .,a ticket admits one into a playhouse .,1,4734
side,side,he is on the purchasing side of the business .,the patient was bleeding on the right side .,0,4735
note,note,it ended on a sour note .,there was a note of gaiety in her manner .,1,4736
eye,eye,he has an artist 's eye .,she has an eye for fresh talent .,1,4737
window,window,you have a two-hour window of clear weather to finish working on the lawn .,window of opportunity .,1,4738
mean,mean,i mean no harm .,i only meant to help you .,1,4739
smell,smell,smell out corruption .,i smell trouble .,1,4740
consider,consider,you must consider her age .,i 'm considering going to the beach tomorrow .,0,4741
economy,economy,economy of effort .,the scots are famous for their economy .,0,4742
answer,answer,answer the telephone .,nobody answered when i knocked on the door .,1,4743
language,language,the english language .,he did n't have the language to express his feelings .,0,4744
dress,dress,dress a turkey .,dress the surface smooth .,0,4745
drop,drop,he had a drop too much to drink .,a drop of each sample was analyzed .,1,4746
dip,dip,there was a dip in the road .,this onion dip is just scrumptious .,0,4747
bit,bit,"i 'd like a big bit of cake , please .",there are 8 bits in a byte .,0,4748
date,date,they are up to date .,we have n't heard from them to date .,1,4749
lunchtime,lunchtime,he observed a regular lunchtime .,"it 's almost lunchtime , so i think i 'll finish up later this afternoon .",1,4750
beg,beg,beg the question .,beg the point in the discussion .,1,4751
home,home,home is where the heart is .,there 's no place like home .,1,4752
academy,academy,a riding academy .,the american academy of arts and sciences .,0,4753
shopping,shopping,women carrying home shopping did n't give me a second glance .,i carried three heavy bags of shopping up the stairs .,1,4754
resign,resign,he had no choice but to resign the game and let his opponent become the champion .,"after fighting for so long , she finally resigned to her death .",1,4755
direction,direction,is the direction of the economy a function of government ?,i could n't follow the direction of his thoughts .,0,4756
baby,baby,the annual report has been my baby since september .,this project is his baby .,1,4757
strike,strike,the opponent refused to strike .,the boxer struck the attacker dead .,1,4758
seek,seek,seek happiness .,seek an education .,1,4759
quality,quality,the quality of students has risen .,a peasant is not allowed to fall in love with a lady of quality .,0,4760
beg,beg,i beg your pardon . i did n't mean to cause offence .,i begged for her to do it .,1,4761
performance,performance,they admired his performance under stress .,they listened to ten different performances .,0,4762
begin,begin,you can not even begin to understand the problem we had to deal with during the war .,he began early in the day .,0,4763
apparition,apparition,the apparition of lawyer clippurse occasioned much speculation in that portion of the world . – sir w. scott .,natives were amazed at the apparition of this white stranger .,1,4764
case,case,a mental case .,the musicians left their instrument cases backstage .,0,4765
keep,keep,keep count .,i can not keep track of all my employees .,1,4766
top,top,she tied her bikini top .,he screamed at the top of his lungs .,0,4767
score,score,add it to my score and i 'll settle later .,a score were sent out but only one returned .,0,4768
impression,impression,he did a funny impression of a politician .,the dentist took an impression for use in preparing an inlay .,0,4769
take,take,i 'll take the blue plates .,we took the road on the right .,1,4770
care,care,i do n't care .,i do n't care what he does .,1,4771
scene,scene,he made a scene .,"the play is divided into three acts , and in total twenty-five scenes .",0,4772
seek,seek,seek happiness .,seek a position .,1,4773
order,order,the house is in order .,ibm received an order for a hundred computers .,0,4774
land,land,the plane is about to land .,the ship landed in pearl harbor .,1,4775
heart,heart,the heart and soul of the republican party .,they ran forward into the heart of the struggle .,0,4776
check,check,check your luggage before boarding .,she checked for an instant and missed a step .,0,4777
practice,practice,a hard theory to put into practice .,"that may work in theory , but will it work in practice ?",1,4778
receive,receive,receive payment .,receive a gift .,1,4779
system,system,the system consists of a motor and a small computer .,he bought a new stereo system .,1,4780
pull,pull,pull a horse .,you 'll be sent home if you pull another stunt like that .,0,4781
boy,boy,the baby was a boy .,steve is a boy of 16 .,1,4782
confidence,confidence,i have confidence in our team .,everyone trusted him with their confidences .,0,4783
pop,pop,pop the clutch .,the muskets popped away on all sides .,0,4784
disposition,disposition,a swelling with a disposition to rupture .,salt has a disposition to dissolve in water .,0,4785
quality,quality,"while being impulsive can be great for artists , it is not a desirable quality for engineers .",one of the qualities of pure iron is that it does not rust easily .,1,4786
leave,leave,leave the flowers that you see in the park behind .,leave it as is .,1,4787
furniture,furniture,the woman does not even have one stick of furniture moved in yet .,they had too much furniture for the small apartment .,1,4788
pay,pay,pay a debt .,do n't pay him any mind .,0,4789
pay,pay,pay a visit .,it pays to go through the trouble .,0,4790
shade,shade,it is much cooler in the shade .,"close the shade , please : it 's too bright in here .",1,4791
extension,extension,good extension comes from a combination of training and native ability .,extension of the program to all in need .,0,4792
area,area,the photo is a little dark in that area .,the area of a rectangle .,1,4793
neck,neck,the banjo had a long neck .,the bottle had a wide neck .,1,4794
approve,approve,i approve of his educational policies .,i certainly approved of mary 's acquaitance .,1,4795
arouse,arouse,arouse pity .,to arouse jealousy .,1,4796
loaf,loaf,sugar loaf .,meat loaf .,1,4797
pay,pay,how much does this savings certificate pay annually ?,to pay attention .,1,4798
close,close,close with the enemy .,close the door .,0,4799
lift,lift,lift a ban .,i lifted the books onto the table .,0,4800
floor,floor,many sunken ships rest on the ocean floor .,the floor of the cave .,1,4801
fall,fall,fall asleep .,she fell to pieces after she lost her work .,1,4802
dissent,dissent,dissent to the laws of the country .,several republicans dissented .,0,4803
seat,seat,he dusted off the seat before sitting down .,there are two hundred seats in this classroom .,1,4804
richness,richness,he was well aware of the richness of his own appearance .,the richness all around unsettled him for he had expected to find poverty .,0,4805
dig,dig,dig the oars into the water .,dig your foot into the floor .,1,4806
make,make,this invention will make you a millionaire .,she made us look silly .,1,4807
eat,eat,what do whales eat ?,this dog does n't eat certain kinds of meat .,1,4808
pull,pull,pull your knees towards your chin .,pull the handle towards you .,1,4809
cycle,cycle,"the "" ring of the nibelung "" is a cycle of four operas by richard wagner , the famous nineteenth-century german composer .",schubert 's song cycles .,1,4810
leave,leave,leave the young fawn alone .,leave the flowers that you see in the park behind .,1,4811
lot,lot,a building lot in a city .,he bought a lot on the lake .,1,4812
talk,talk,they sat down to talk business .,although i do n't speak chinese i managed to talk with the villagers using signs and gestures .,1,4813
third,third,he was cut down on a close play at third .,a simple harmony written in major thirds .,0,4814
tendency,tendency,a tendency to be too strict .,denim has a tendency to fade .,1,4815
coverage,coverage,they accused the paper of biased coverage of race relations .,there are overlapping coverages on your insurance policies .,0,4816
return,return,the return of spring .,the average return was about 5 % .,0,4817
stretch,stretch,stretch the fabric .,i stretched the rubber band until it almost broke .,1,4818
carry,carry,these bonds carry warrants .,this new washer carries a two year guarantee .,1,4819
rest,rest,"the sun sets , and the workers go to their rest .",i need to get a good rest tonight ; i was up late last night .,1,4820
clear,clear,clear a debt .,the fog cleared in the afternoon .,0,4821
strike,strike,strike ` z ' on the keyboard .,the pianist strikes a middle c .,1,4822
misplay,misplay,he misplayed his promising position .,"i misplayed the tennis shot , i should have hit it to her right instead of left and she 'd have had more trouble returning it .",1,4823
branch,branch,a branch of congress .,he broke off one of the branches .,0,4824
foulness,foulness,mouths which speak such foulness must be cleansed .,he understood the foulness of sin .,1,4825
top,top,he removed the top of the carton .,the mower cuts off the tops of the grass .,0,4826
grate,grate,grate one 's teeth in anger .,to grate a window .,0,4827
pledge,pledge,his saxophone was in pledge .,signed a pledge never to reveal the secret .,0,4828
brim,brim,brim a cup to good fellowship .,the room brimmed with people .,0,4829
point,point,the main point on the agenda was taken up first .,what is the point of discussing it ?,0,4830
utility,utility,a computer system provides utility programs to perform the tasks needed by most users .,the price of the house included all utilities .,0,4831
work,work,do you want to work after the age of 60 ?,she never worked because she inherited a lot of money .,1,4832
order,order,an explosion of a low order of magnitude .,it was on the order of a mile .,1,4833
tongue,tongue,she has a glib tongue .,tongues of flame licked at the walls .,0,4834
deliver,deliver,deliver the mail .,the guard delivered the criminal to the police .,0,4835
sense,sense,fortunately she had the good sense to run away .,he has n't got the sense god gave little green apples .,1,4836
denial,denial,every time we asked for an interview we got a denial .,it resulted in a complete denial of his privileges .,1,4837
outwardness,outwardness,"what is the origin of the outwardness of our sensations of sound , smell , or taste .",the outwardness of the world .,0,4838
shopping,shopping,she loaded her shopping into the car .,i carried three heavy bags of shopping up the stairs .,1,4839
bake,bake,potatoes bake to a crisp .,she 's been baking all day to prepare for the dinner .,1,4840
forbid,forbid,the rules forbid our smoking .,the rules forbid us from smoking .,1,4841
ball,ball,the ball was already emptying out before the fire alarm sounded .,the ball rolled into the corner pocket .,0,4842
light,light,i 'm really seeing you in a different light today .,magoon 's governorship in cuba was viewed in a negative light by many cuban historians for years thereafter .,1,4843
war,war,"the "" war on terror "" is a campaign against terrorist crime .","in the us , conservatives rail against the "" war on christmas "" .",1,4844
gather,gather,gather some stones .,the teacher gathered the kids together .,1,4845
optimization,optimization,the simultaneous optimization of growth and profitability .,to promote the optimization and diversification of agricultural products .,1,4846
stretch,stretch,stretch the imagination .,"to enjoy the picnic , we stretched out on the grass .",0,4847
hold,hold,the general ordered the colonel to hold his position at all costs .,hold the horse .,1,4848
touch,touch,"please can i have a look , if i promise not to touch ?",i would n't touch her with a ten-foot pole .,0,4849
war,war,"the "" war on drugs "" is a campaign against the use of narcotic drugs .",the war on poverty .,1,4850
horizon,horizon,it is beyond the horizon of present knowledge .,some students take a gap year after finishing high school to broaden their horizons .,1,4851
stay,stay,wear gloves so your hands stay warm .,we are staying in detroit .,0,4852
case,case,"for english , a compositor will ordinarily have two such cases , the upper case containing the capitals and the lower case containing the small letters .",that was not the case .,0,4853
match,match,"these two copies are supposed to be identical , but they do n't match .",match my sweater .,0,4854
floor,floor,the floor of a cave served the refugees as a home .,many sunken ships rest on the ocean floor .,1,4855
sell,sell,the french try to sell us their image as great lovers .,the brothers sell shoes .,0,4856
extension,extension,the extension of ` satellite of mars ' is the set containing only demos and phobos .,a text file will have a file extension of .txt .,0,4857
have,have,i do n't have any money left .,what do we have here ?,0,4858
business,business,he bought his brother 's business .,business has been slow lately .,0,4859
leak,leak,a leak in a gas pipe .,he had to clean up the leak .,1,4860
key,key,he spoke in a low key .,some students cheated by using the answer key .,0,4861
field,field,anthropologists do much of their work in the field .,he needs some time in the field before his judgment can be trusted .,1,4862
summit,summit,the region is a few molecules wide at the summit .,"in summer , it is possible to hike to the summit of mt. shasta .",1,4863
block,block,anne boleyn placed her head on the block and awaited her execution .,a block of stone .,1,4864
size,size,the only city of any size in that area .,he blanched when he saw the size of the bill .,1,4865
folk,folk,they 're just country folk .,folks around here drink moonshine .,1,4866
ambition,ambition,my ambition is to own a helicopter .,his ambition is to own his own business .,1,4867
connect,connect,the new railroad will connect the northern part of the state to the southern part .,our computers connected .,1,4868
work,work,the voting process does n't work as well as people thought .,the medicine works only if you take it with a lot of water .,1,4869
forefront,forefront,the idea of motion was always to the forefront of his mind and central to his philosophy .,the cotswolds were once at the forefront of woollen manufacturing in england .,1,4870
exercise,exercise,the doctor recommended regular exercise .,the teacher told us the next exercise is to write an essay .,1,4871
strike,strike,strike a medal .,the teacher struck the child .,0,4872
order,order,order ruled in the streets .,law and order .,1,4873
pay,pay,does she pay you for the work you are doing ?,he paid off the loan three months early .,1,4874
drive,drive,can you drive this four-wheel truck ?,drive the game .,0,4875
faith,faith,i have faith in the goodness of my fellow man .,they broke faith with their investors .,0,4876
time,time,this time he succeeded .,he called four times .,1,4877
carry,carry,i carry these thoughts in the back of my head .,i carry a lot of life insurance .,1,4878
business,business,they did nearly a million dollars of business over the long weekend .,business has been slow lately .,1,4879
place,place,do you want to come over to my place later ?,a political system with no place for the less prominent groups .,0,4880
notice,notice,you did n't give me enough notice .,a notice of sale .,1,4881
period,period,hastened the period of time of his recovery .,picasso 's blue period .,1,4882
treat,treat,she was tempted to treat the whole affair as a joke .,the patient must be treated right away or she will die .,0,4883
beat,beat,beat the cream .,beat the subway fare .,0,4884
pull,pull,pull the trigger of the gun .,pull the rope .,1,4885
sanitize,sanitize,sanitize a document before releasing it to the press .,sanitize the language in a book .,1,4886
operation,operation,they paid taxes on every stage of the operation .,a multinational operation .,1,4887
part,part,she played the part of desdemona .,we all have a part to play .,1,4888
travel,travel,he enjoyed selling but he hated the travel .,space travel .,1,4889
foot,foot,armored from head to foot .,curled up on the foot of the bed .,0,4890
make,make,he did n't make the choir after his voice changed .,"she makes more than he does , and works longer hours than he does , but she still does most of the house-cleaning .",1,4891
tab,tab,files with a red tab will be stored separately .,the collar has a tab with a button hole .,1,4892
rule,rule,it was his rule to take a walk before breakfast .,he knew the rules of chess .,0,4893
make,make,make clay into bricks .,make lead into gold .,1,4894
operation,operation,they will schedule the operation as soon as an operating room is available .,it is dangerous to look at the beam of a laser while it is in operation .,1,4895
institution,institution,the institution of slavery .,the institution of marriage .,1,4896
statement,statement,his tantrums are a statement of his need for attention .,a cadillac makes a statement about who you are .,1,4897
readiness,readiness,putting them in readiness .,"a happy readiness of conversation ""-- jane austen .",0,4898
develop,develop,please develop this roll of film for me .,they developed a new technique .,0,4899
light,light,he stepped into the light .,they played as long as it was light .,0,4900
vehicle,vehicle,a congregation is a vehicle of group identity .,his editorials provided a vehicle for his political views .,1,4901
sign,sign,the hunters found deer sign at the end of the trail .,he showed signs of strain .,1,4902
back,back,can you back up your claims ?,i ca n't back this plan .,0,4903
run,run,let the dogs run free .,who are these people running around in the building ?,1,4904
work,work,a lot of people are out of work .,"he has n't come home yet , he 's still at work .",1,4905
set,set,set these words in italics .,set the house afire .,0,4906
center,center,it is a center 's responsibility to get the football to the quarterback .,his stories made him the center of the party .,0,4907
read,read,read the advertisement .,have you read salman rushdie ?,1,4908
hedge,hedge,diversify your financial portfolio to hedge price risks .,hedge your bets .,1,4909
trace,trace,trace a pattern .,trace a design .,1,4910
support,support,the government provides support to the arts in several ways .,the president no longer has the support of his own party .,1,4911
lash,lash,to lash something to a spar .,the lion lashed its tail .,0,4912
cover,cover,the grant does n't cover my salary .,cover the child with a blanket .,0,4913
develop,develop,please develop this roll of film for me .,develop land .,0,4914
face,face,"to face the front of a coat , or the bottom of a dress .",face the lapels of the jacket .,1,4915
language,language,language sets homo sapiens apart from all other animals .,the language introduced is standard throughout the text .,0,4916
call,call,we could always call on a friend .,call roll .,0,4917
tolerate,tolerate,"i like the way he plays the guitar , but i ca n't tolerate his voice when he sings .",he learned to tolerate the heat .,1,4918
take,take,i take it you 're not going ?,you ca n't take credit for this !,1,4919
work,work,i will work hard to improve my grades .,john worked with paul on the task .,1,4920
age,age,we live in a litigious age .,the tithonian age was the last in the late jurassic epoch .,1,4921
complexion,complexion,a rugged complexion .,a liberal political complexion .,0,4922
difference,difference,it just wo n't make much difference to me .,his support made a real difference .,1,4923
cry,cry,"before we had newspapers , a town crier would cry the news .",he cried his merchandise in the market square .,1,4924
token,token,"according to the bible , the rainbow is a token of god 's covenant with noah .",a book token is the easiest option for a christmas gift .,0,4925
number,number,the number of parameters is small .,in english the subject and the verb must agree in number .,0,4926
nose,nose,he ducked under the nose of the gun .,he has a cold in the nose .,0,4927
order,order,order ruled in the streets .,the machinery is out of order .,1,4928
pack,pack,you had better pack your swollen ankle with ice .,pack your tents to the top of the mountain .,0,4929
demand,demand,the automobile reduced the demand for buggywhips .,his demands for attention were unceasing .,0,4930
bankruptcy,bankruptcy,spiritual bankruptcy .,moral bankruptcy .,1,4931
experience,experience,he had a religious experience .,he recalled the experience vividly .,1,4932
movement,movement,the second movement is slow and melodic .,it was an expensive watch with a diamond movement .,0,4933
union,union,there is strength in union .,the soviet union .,0,4934
include,include,i will purchase the vacation package if you will include car rental .,we must include this chemical element in the group .,1,4935
movement,movement,the succession of flashing lights gave an illusion of movement .,the labor movement has been struggling in america since the passage of the taft-hartley act in 1947 .,0,4936
stay,stay,they had a nice stay in paris .,a lengthy hospital stay .,1,4937
year,year,in the year 1920 .,"a normal year has 365 full days , but there are 366 days in a leap year .",1,4938
resolution,resolution,printing at higher resolution will cause a reduction in performance .,the resolution of an equation .,0,4939
order,order,a friend in new mexico said that the order caused no trouble out there .,law and order .,0,4940
come,come,come into contact with a terrorist group .,your wish will come true .,1,4941
trade,trade,as they say in the trade .,they are accused of conspiring to constrain trade .,0,4942
carry,carry,these pipes carry waste water into the river .,amanda carried the package from home .,1,4943
stuff,stuff,the stuff of heros .,you do n't have the stuff to be a united states marine .,1,4944
back,back,back into the driveway .,the wind backed .,0,4945
course,course,the course of the river .,the government took a firm course .,0,4946
strengthen,strengthen,to strengthen authority .,his body strengthened .,1,4947
immolate,immolate,immolate the valuables at the temple .,the aztecs immolated human victims .,1,4948
form,form,his resentment took the form of extreme hostility .,the composition presents problems for students of musical form .,0,4949
unionize,unionize,my uncle got roughed up by some corporate thugs after they caught him trying to unionize their workers .,the company laid off all the workers when they tried to unionize .,1,4950
allow,allow,this sealed door wo n't allow the water come into the basement .,to allow a servant his liberty .,0,4951
surprise,surprise,the surprise attack was devastating .,imagine my surprise on learning i owed twice as much as i thought i did .,0,4952
trade,trade,i had no further trade with him .,i did no trades with them once the rumors started .,1,4953
earth,earth,earth the circuit .,that noise is because the amplifier is not properly earthed .,1,4954
tea,tea,would you like some tea ?,the store shelves held many different kinds of tea .,1,4955
block,block,i knew his name perfectly well but i had a temporary block .,a block of stone .,0,4956
difference,difference,it just wo n't make much difference to me .,the difference in her is amazing .,1,4957
face,face,he washed his face .,i wish i had seen the look on his face when he got the news .,1,4958
call,call,the mayor likes to call on some of the prominent citizens .,she called her children lazy and ungrateful .,0,4959
staple,staple,tow is flax with short staple .,staple fibers vary widely in length .,1,4960
unit,unit,a unit of wheat is a bushel .,he was a member of a special police unit .,0,4961
command,command,general smith was placed in command .,an admiral in command .,1,4962
union,union,there is strength in union .,let c be the union of the sets a and b .,0,4963
air,air,open a window and let in some air .,as he waited he could feel the air on his neck .,0,4964
roll,roll,roll a cigarette .,the drawer rolled open .,0,4965
mire,mire,caught in the mire of poverty .,the country is still trying to climb out of the mire left by its previous president .,1,4966
bid,bid,"his bid was $ 35,000 .",a bid for a lucrative transport contract .,1,4967
acknowledgment,acknowledgment,she must have seen him but she gave no sign of acknowledgment .,the preface contained an acknowledgment of those who had helped her .,1,4968
finish,finish,he applied a coat of a clear finish .,the car 's finish was so shiny and new .,1,4969
play,play,play cards .,who 's playing now ?,1,4970
beat,beat,beat the subway fare .,beat a path through the forest .,0,4971
keep,keep,keep count .,the pianist kept time with the metronome .,1,4972
classify,classify,"should we classify "" make up "" as an idiom or as a phrasal verb ?",how would you classify these pottery shards -- are they prehistoric ?,1,4973
pull,pull,pull a bank robbery .,pull a chicken .,0,4974
buy,buy,i 'm going to buy my father something nice for his birthday .,this sum will buy you a ride on the train .,0,4975
nick,nick,he 's just been released from shadwell nick prison after doing ten years for attempted murder .,he 's in the nick .,1,4976
dwelling,dwelling,the old house served as a dwelling for albert .,philip 's dwelling fronted on the street . - alfred tennyson .,1,4977
par,par,par for this course is 72 .,he needs to make this shot for par .,1,4978
charge,charge,how much do you charge for lunch ?,this fellow charges $ 100 for a massage .,1,4979
stretch,stretch,i always stretch my muscles before exercising .,his mustache stretched all the way to his sideburns .,0,4980
area,area,it was about 500 square feet in area .,the area of a rectangle .,1,4981
neighborhood,neighborhood,the price is in the neighborhood of $ 100 .,he always blames someone else in the immediate neighborhood .,0,4982
drag,drag,do n't drag me into this business .,drag this icon to the lower right hand corner of the screen .,0,4983
commercialization,commercialization,the government tried to accelerate the commercialization of this development .,my father considered the commercialization of christmas to be a sacrilege .,1,4984
field,field,there are several species of wild flowers growing in this field .,this racehorse is the strongest in a weak field .,0,4985
back,back,he wrote the date on the back of the photograph .,i hung the clothes on the back of the door .,1,4986
piece,piece,the children acted out a comic piece to amuse the guests .,an important piece of the evidence .,0,4987
teach,teach,can you teach me to sew ?,can you teach sewing to me ?,1,4988
form,form,he was at the top of his form .,the team was off form last night .,1,4989
think,think,she did n't think to harm me .,we thought to return early that night .,1,4990
post,post,he occupied a post in the treasury .,sent via post .,1,4991
see,see,i can see what will happen .,i ca n't see him on horseback !,1,4992
bit,bit,in just a bit .,there are 8 bits in a byte .,0,4993
stay,stay,to stay a flat sheet in a steam boiler .,i had to stay at home and watch the children .,0,4994
face,face,they climbed the north face of the mountain .,why the sad face ?,0,4995
death,death,the death of my grandmother saddened the whole family .,she stayed until his death .,0,4996
space,space,they tested his ability to locate objects in space .,write your name in the space provided .,0,4997
empathize,empathize,you really have to empathize with their doing it .,you really have to empathize with them .,1,4998
serve,serve,this table would serve very well .,they serve a restricted role on the bench .,1,4999
follow,follow,can you follow her argument ?,she followed the men with the binoculars .,0,5000
orbit,orbit,the moon 's orbit around the earth takes nearly one month to complete .,in the political orbit of a world power .,0,5001
do,do,do research .,this car does 150 miles per hour .,0,5002
stretch,stretch,stretch out that piece of cloth .,the rubber band stretched almost to the breaking point .,0,5003
pay,pay,"pay up , please !",it pays to go through the trouble .,0,5004
course,course,the course of the river .,he took a course in basket weaving .,0,5005
go,go,his knowledge does n't go very far .,this property goes all the way to the state line .,1,5006
tail,tail,"after the burly macho nudists ' polar bear dip , their tails were spectacularly shrunk , so they looked like an immature kid 's innocent tail .",most primates have a tail and fangs .,0,5007
fire,fire,they sat by the fire and talked .,he went through fire and damnation .,0,5008
protection,protection,he made trade protection a plank in the party platform .,insurance provided protection against loss of wages due to illness .,0,5009
strike,strike,strike a match .,the teacher struck the child .,0,5010
time,time,it took more than half my time .,i did n't have time to finish .,1,5011
develop,develop,develop a market for the new mobile phone .,please develop this roll of film .,0,5012
extend,extend,extend the casserole with a little rice .,can we extend the legs of this dining table ?,0,5013
word,word,he did n't say a word about it .,can i have a word with you ?,1,5014
bed,bed,he searched for treasure on the ocean bed .,there 's a lot of trash on the bed of the river .,1,5015
breakfast,breakfast,we breakfast at seven .,cynthia breakfasted on peaches .,1,5016
seat,seat,the seat of these trousers is almost worn through .,the seat of his pants was worn through .,1,5017
authority,authority,authority for the program was renewed several times .,he is an authority on corporate law .,0,5018
echo,echo,napoleon iii was an echo of the mighty emperor but an infinitely better man .,his contention contains more than an echo of rousseau .,1,5019
play,play,play sports .,we played hockey all afternoon .,1,5020
