,sentence1,sentence2,label,hypothesis_graph_structure
16593,"Mercury, the smallest planet in the Solar System, has the most eccentric orbit.",Mercury is the smallest planet in our solar system.,1,Mercury<>is<>the smallest planet in our solar system
16594,"Next to Earth, Mercury is the second most dense planet in our Solar System.",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16595,"Of the eight planets in the solar system, Mercury is the smallest and closest to the Sun.",Mercury is the smallest planet in our solar system.,1,Mercury<>is<>the smallest planet in our solar system
16596,"On the Planetary Council, Hermes represents the planet Mercury, the communication center in the solar system.",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16597,Pluto and Mercury are the planets with the most eccentric orbits in our solar system.,Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16598,"The Milky Way Galaxy The Solar System The Sun Mercury, the planet nearest to the sun.",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16599,"The Planets Zoom Astronomy Mercury Introduction Map of Mercury Inside Mercury Length of a Day and Year Activities, Web Links GENERAL INFORMATION ON MERCURY Mercury is the planet closest to the sun in our solar system.",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16600,"The Terrestrial Planets (Inner Planets) The terrestrial planets are the four innermost planets in the solar system, Mercury , Venus , Earth and Mars .",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16601,"Theory requires that this rotation should amount to 43 seconds of arc per century for the planet Mercury, but for the other Planets of our solar system its magnitude should be so small that it would necessarily escape detection.",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16602,"Venus is one of the solar system's rocky planets, along with Earth and Mercury .",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16603,"of the seven other planets in the Solar System, only Mercury shows greater eccentricity.",Mercury is the smallest planet in our solar system.,0,Mercury<>is<>the smallest planet in our solar system
16604,"As America's most abundant energy source, coal is currently used to generate nearly 60 percent of our electricity.",Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16605,"Coal continues to be the main energy source, primarily for electricity generation (70",Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16606,Coal from this area is an important fuel source for the country's electric power plants.,Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16607,Coal is by far the major source of the electricity;,Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16608,Coal is our largest source of energy for producing electricity.,Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16609,"Coal is still the most plentiful source of affordable energy in this country, and it is by far the primary source of electric power generation.",Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16610,Coal is the major fuel source used for electric power generation.,Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16611,"Coal was the principal energy source used to raise steam, and today it provides most of the electric power that is fundamental to the operation of computers.",Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16612,Coal-fired electric generating plants are the greatest sources of atmospheric mercury;,Coal is the source of most electricity.,0,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16613,"Consider coal, the source of 56% of the electricity generated in the U.S.",Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16614,"For electricity, coal is by far the most-chosen fuel today.",Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16615,Limestone is indistinguishable from coal on most electric logs.,Coal is the source of most electricity.,0,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16616,They were heated by coal stoves and most had electricity.,Coal is the source of most electricity.,0,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16617,"This is because most of our electricity is produced by burning fossil fuels (particularly coal), which is, in turn, the major source of carbon dioxide in the atmosphere.",Coal is the source of most electricity.,1,Coal<>is<>the source of most electricity$$$Coal<>is the source of<>most electricity
16618,Others will study global precipitation and the atmospheres of other planets.,The atmosphere is the source of precipitation.,0,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16619,"Precipitation Precipitation is moisture that falls from the atmosphere as rain, snow, sleet, or hail.",The atmosphere is the source of precipitation.,1,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16620,Precipitation The transfer of water from the atmosphere to land.,The atmosphere is the source of precipitation.,1,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16621,"The controlled atmosphere will allow precise manipulation of temperature ( 0.5 C), humidity ( 5% RH), atmospheric CO2 ( 10 ppm), and will additionally allow simulation of acid precipitation, a source of major concern in this region.",The atmosphere is the source of precipitation.,0,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16622,The increased awareness of the environmental consequences of acidic precipitation has resulted in many recent measurements of  both the sources of sulfur to the atmosphere and the processes involved in the cycling of sulfur through the atmosphere.,The atmosphere is the source of precipitation.,0,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16623,"The source of almost all fresh water is precipitation from the atmosphere, in the form of mist, rain and snow.",The atmosphere is the source of precipitation.,1,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16624,"The source of virtually all freshwater is precipitation from the atmosphere, in the form of mist, rain and snow, as part of the water cycle over eons, millennia and in the present day.",The atmosphere is the source of precipitation.,1,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16625,"The suprathermal particles, electrons and protons, coming from the magnetosphere and precipitating into the high-latitude atmosphere are an energy source of the Earth's ionosphere.",The atmosphere is the source of precipitation.,0,The atmosphere<>is<>the source of precipitation$$$The atmosphere<>is the source of<>precipitation
16626,5 Typical ion gas laser (18) The ballast tank provides a source of gas (connected to the plasma tube by a valve) to maintain the tube at optimum operating pressure.,"Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",0,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16627,Difference Between Plasma and Gas,"Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",0,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16628,"Plasma -- the Fourth State of Matter A plasma can be described as a gas to which a specific amount of energy has been added to separate the gas component molecules into a collection of ions, electrons, charge-neutral gas molecules, and other species in varying degrees of excitation.","Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",1,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16629,Plasma State of Matter Properties,"Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",0,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16630,"Plasma, sometimes called the fourth state of matter, is an electrically charged gas made up of charged particles, in this case from a field of positively charged particles, or ions, and negatively charged electrons.","Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",1,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16631,"The typical noble gas ion laser plasma consists of a high-current-density glow discharge in a noble gas, in the presence of a magnetic field.","Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",0,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16632,"These bridges of matter are called plasma, and consist of completely ionized gas containing equal number of free electrons and positive ions.","Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",1,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16633,"This does not represent states (solid, liquid, gas, plasma) of matter.","Plasma is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas.",0,Plasma<>is<>the state of matter that resembles a gas$$$the state of matter<>resembles<>a gas
16634,A chemical element necessary in relatively large amounts (usually greater than 500 ppm in the plant) for the growth of plants.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16635,A component necessary for plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16636,Are necessary for optimal plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16637,Differences in chemical composition of plants growth at constant relative growth rates with stable mineral nutrition.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16638,Lindermayer studied plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16639,Minute Amounts of Chemical Elements in Relation to Plant Growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16640,NUTRIENTS are chemical elements that are essential to plant and animal nutrition.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16641,Necessary Nutrients Sixteen elements are essential for plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16642,Nutrients are chemical elements essential to plant and animal nutrition.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16643,Plant Growth and Plant Nutrition 6.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16644,"Plant nutrition is the study of the chemical elements and compounds that are necessary for plant growth, and also of their external supply and internal metabolism.",Plant nutrition is the study of the chemical elements necessary for plant growth.,1,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16645,Plant nutrition is the study of the chemical elements that are necessary for plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,1,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16646,Plants and the Chemical Elements .,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16647,Return to top The element phosphorus is necessary for plant and animal growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16648,"The chemical organization, cellular organization, metabolism, nutrition, and growth of the higher plants.",Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16649,Then we invoked each of the four elements necessary for the plants' growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16650,There are 20 elements necessary for plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16651,There are actually 20 mineral elements necessary or beneficial for plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16652,This chemical inhibition by a plant on the germination or growth of a plant of the same species is called autotoxicity.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16653,Various fertilizer elements are necessary for plant growth and many can be easily applied.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16654,Water is necessary for plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16655,contains many trace element necessary for plant growth.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16656,micronutrient a chemical element necessary in only extremely small amounts (less than 1 part per million in the plant) for the growth of plants.,Plant nutrition is the study of the chemical elements necessary for plant growth.,0,Plant nutrition<>is<>the study of the chemical elements necessary for plant growth$$$Plant nutrition<>is the study of<>the chemical elements
16657,"354b Electrochemistry and Chemical Kinetics An introduction to electrochemistry, rate laws and the mechanisms of chemical reactions.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16658,"4 credits This course is a study of chemical kinetics, chemical equilibrium, thermodynamics, acids and bases, ionic equilibria, oxidation and reduction reactions, electrochemistry, and coordination compounds.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16659,"421 Study of electrochemistry, chemical kinetics, quantum mechanics and molecular orbital theory.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16660,A unit on electrochemistry explores the relationship between chemical energy and electrical energy in both fuel cells and electrolytic cells.,Electrochemistry is the study of the relationship between electricity and chemical reactions.,1,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16661,"Application areas include batteries, plating or electrodeposition, corrosion, analytical electrochemistry, as well as the study of any chemical reaction involving oxidation or reduction.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16662,"Areas of study include gases and gas laws, chemical reactions and stoichiometry, atomic structure, periodicity, thermochemistry, electrochemistry, rates of reaction, equilibrium, and acid-base theory.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16663,"Chapter subjects include chemical reactions, electrochemistry, nuclear reactions, and atoms and molecules.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16664,Chemical energetics Electrochemistry Reaction kinetics Equilibria Return to home page,Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16665,"Chemical thermodynamics, electrochemistry, electric and magnetic phenomena and transport properties.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16666,"Electrochemistry Electrochemistry is the study of the effects of electric current on the properties and reactions of chemical substances in solution, including electrolysis and electric cells.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,1,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16667,"Electrochemistry Electrochemistry is the study of the use of chemical reactions to produce electricity, as in a battery, and of the use of electricity to drive chemical reactions, as in the production of aluminum.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,1,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16668,Electrochemistry and The Nernst Equation RATES OF CHEMICAL REACTIONS Experiment 15.,Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16669,Electrochemistry is a candidate for a chemical vector suited to aid nuclear reactions.,Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16670,"Electrochemistry, colloids, kinetic theory, reaction kinetics, and statistical mechanics are studied.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16671,"However, Faraday also worked in electrochemistry and gave us the mathem atical relationship between electricity and the valence of a chemical ele ment.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16672,"In-depth introduction to stoichiometric calculations, thermodynamics, redox reactions, electrochemistry, and chemical equilibrium.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16673,"In-depth introduction to thermodynamics, redox reactions, electrochemistry, and chemical equilibrium.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16674,"Majoring in biochemistry As a biochemistry major, you will study chemical reactions, compounds and solutions of chemical elements, electrochemistry, nuclear chemistry and the periodic table.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16675,"Studies rates of chemical reactions, chemical equilibria acid-base reactions, solubility equilibria, elementary qualitative analysis, tree energy and entropy, electrochemistry, nuclear chemistry and introductory aspects of inorganic and organic chemistry.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16676,"Study of chemical kinetics, equilibrium theory, electrochemistry, and nuclear chemistry.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16677,"The course will provide detailed studies of topics such as electrochemistry, thermochemistry, and chemical equilibrium.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16678,"These studies involved electrochemistry, electromagnetism, electricity and magnetism.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16679,"Topics discussed include chemical notation, atomic structures, periodic relationships, bonding, chemical equilibrium, acids, bases, salts, redox reactions, electrochemistry, environmental chemistry, and qualitative analysis.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16680,"Traditional studies cover melt structural modeling, spectroscopy, electrochemistry, thermodynamics, inorganic and organic synthesis, chemical reaction media, organometallics, and physical properties.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16681,"We will not take up surface reactions in any detail now, but you will encounter them in any future studies in electrochemistry, chemical engineering, and biochemistry.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16682,"We will study the liquid and solid states of matter, phase transitions, solutions, electrochemistry, coordination complexes, spectroscopy and the principles of thermodynamics that explain observed chemical reactions.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16683,"We will study the liquid and solid states of matter, phase transitions, solutions, electrochemistry, coordination complexes, spectroscopy, and the principles of thermodynamics that explain observed chemical reactions.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16684,"in electrochemistry, the movement is produced by chemical reactions.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16685,"kinetic theory, phase and chemical equilibria, electrochemistry and reaction kinetics.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16686,"oxidation-reduction reactions including electrochemistry, chemical kinetics, and synthesis.",Electrochemistry is the study of the relationship between electricity and chemical reactions.,0,Electrochemistry<>is<>the study of the relationship between electricity and chemical reactions$$$Electrochemistry<>is the study of<>the relationship
16687,Core The innermost layers of the Earth.,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16688,From Core to Corona: Layers of the Sun and The Solar Wind -,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16689,"In the very innermost part of the Sun, called its core, the temperature is about 15 million Kelvins, the density is 150 times that of water, and the pressure is over 200 billion times greater than atmospheric pressure here on Earth.",The core is the sun's innermost layer.,1,The core<>is<>the sun's innermost layer
16690,"Layers of the Sun from innermost to outermost: core, radiative layer, convective layer, photosphere, chromosphere and corona.",The core is the sun's innermost layer.,1,The core<>is<>the sun's innermost layer
16691,"The core is the innermost 30% of the Sun by radius, and is where the nuclear reactions that power the Sun occur.",The core is the sun's innermost layer.,1,The core<>is<>the sun's innermost layer
16692,"The core is the innermost layer of the Earth and is made of very hot, heavy metals.",The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16693,The first is the core which is the innermost part of the Sun.,The core is the sun's innermost layer.,1,The core<>is<>the sun's innermost layer
16694,"The innermost layer is the core, just above the core is the photosphere, then the chromosphere and finally the corona, the outermost layer of the Sun's atmosphere.",The core is the sun's innermost layer.,1,The core<>is<>the sun's innermost layer
16695,The innermost layer of Earth is called the core .,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16696,"The innermost layer will be a core, analogous to the primitives in Lisp, providing basic representational and language extension functions.",The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16697,The innermost protein layer (viral core) is formed by VP2 molecules.,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16698,"The medulla, which is the innermost layer, comprises a core of soft keratin cells.",The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16699,The planetary core consists of the innermost layer(s) of a planet.,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16700,"The sun's nuclear fusion reactions only happen in the innermost core, where the pressure and temperature are high enough to fuse hydrogen into helium.",The core is the sun's innermost layer.,1,The core<>is<>the sun's innermost layer
16701,"While the Sun is our outermost core, the Moon is our innermost, our protected feelings and our memories.",The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16702,"and an innermost layer, or stele, which is composed of layers of tough pericyclic cells, a multicellular layer of vascular phloem cells, a multicellular layer of xylem, or wood, cells, and an inner core that is called pith.",The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16703,core Innermost zone of Earth.,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16704,core The core is the innermost layer of the Earth .,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16705,inner core - iron and nickel and cobalt combine to make the innermost layer of the earth.,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16706,inner core The innermost layer of Earth.,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16707,the innermost core of his being.,The core is the sun's innermost layer.,0,The core<>is<>the sun's innermost layer
16708,A synapse is a connection between a neuron and another neuron (or muscle cell).,Synapse is the term for a connection between a neuron and its target cell.,1,Synapse<>is<>the term for a connection between a neuron and its target cell
16709,"After a neurotransmitter has its effect on the target neuron, it usually either diffuses away from the synapse, is deactivated by enzymes in the synapse, or is absorbed by surrounding cells.",Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16710,Chorda tympani neurons synapse with cells in taste buds;,Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16711,If through the pons this would go to mossy fibers that synapse with granule and Golgi neurons with the granule cells then targeting Purkinje neurons via their excitatory parallel fibers.,Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16712,The Synapse A neuron is a cell connected to other cells by synapses that mediate specific signals involved in behavior.,Synapse is the term for a connection between a neuron and its target cell.,1,Synapse<>is<>the term for a connection between a neuron and its target cell
16713,The formation of an accurate map requires that any individual ganglion cell terminal synapse with postsynaptic neurons only in a given location in the target.,Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16714,The next step is to connect this muscle cell to the six neurons which synapse on it and approximate their effect.,Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16715,These pyramidal cells reciprocally synapse back on thalamic neurons.,Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16716,"Topics will include differentiation of nerve cells, migration of neurons, nerve growth factor, neurotrophic effects on muscle, synapse formation and the rearrangement of neuronal connections.",Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16717,"When the cells described synapse on their target cells, the synapse(s) should be excitatory for (all adrenergic neurons) (all cholinergic neurons) (all synapses) (none of the synapses) (some of each type) (some of the adrenergic only) (some of the cholinergic only) (can't predict).",Synapse is the term for a connection between a neuron and its target cell.,0,Synapse<>is<>the term for a connection between a neuron and its target cell
16718,synapse A specialized junction at which a neural cell (neuron) communicates with a target cell.,Synapse is the term for a connection between a neuron and its target cell.,1,Synapse<>is<>the term for a connection between a neuron and its target cell
16719,2.  Heterogeneous Mixtures,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16720,A heterogeneous mixture does not have a uniform composition throughout its mass.,Heterogeneous is the term for a mixture that varies in its composition.,1,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16721,A term to describe a heterogeneous mixture of antibodies.,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16722,"Being a mixture of monolithic metals and composite materials, FMLs belong to the class of heterogeneous mixtures (see below).",Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16723,Examples of Heterogeneous Mixtures,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16724,Heterogeneous Mixture Mixture in which the properties and composition are not uniform throughout the sample.,Heterogeneous is the term for a mixture that varies in its composition.,1,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16725,Heterogeneous Mixtures,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
